property,property_label,value_type,value_type_label
P1000,record held,Q1241356,record
P1001,applies to jurisdiction,Q13414953,religious denomination
P1001,applies to jurisdiction,Q3895768,fictional location
P1001,applies to jurisdiction,Q43229,organization
P1001,applies to jurisdiction,Q44782,port
P1001,applies to jurisdiction,Q2221906,geographic location
P1001,applies to jurisdiction,Q8187769,economic activity
P1001,applies to jurisdiction,Q82794,region
P1002,engine configuration,Q2576663,engine configuration
P1016,asteroid taxonomy,Q15101896,asteroid classification
P10176,type host,Q16521,taxon
P1018,language regulatory body,Q5,human
P1018,language regulatory body,Q4164871,position
P1018,language regulatory body,Q43229,organization
P102,member of political party,Q2738074,political movement
P102,member of political party,Q6138528,political coalition
P102,member of political party,Q7210356,political organization
P10229,next level in hierarchy,Q56061,administrative territorial entity
P10241,individual of taxon,Q15707583,fictional taxon
P10241,individual of taxon,Q16521,taxon
P10254,associated cadastral district,Q2989400,commune of Morocco
P1026,academic thesis,Q1266946,thesis
P1028,donated by,Q43229,organization
P1028,donated by,Q5,human
P1029,crew member,Q5,human
P1029,crew member,Q95074,character
P103,native language,Q17376908,languoid
P10308,director of publication,Q5,human
P1035,honorific suffix,Q1964223,name suffix
P1035,honorific suffix,Q618779,award
P1037,director / manager,Q215627,person
P1037,director / manager,Q95074,character
P10374,computational complexity,Q908207,complexity class
P1038,relative,Q14897293,fictional entity
P1038,relative,Q26401003,individual animal
P1039,kinship to subject,Q171318,kinship
P1040,film editor,Q5,human
P1040,film editor,Q10648343,duo
P1040,film editor,Q1400264,artist collective
P1040,film editor,Q215380,musical group
P10408,created during,Q1190554,occurrence
P1041,socket supported,Q727009,CPU socket
P10449,trained by,Q5,human
P1049,worshipped by,Q71966963,religion or world view
P1049,worshipped by,Q17364638,fictional religion
P1049,worshipped by,Q3257686,locality
P1050,medical condition,Q808,virus
P1050,medical condition,Q18596079,fictional medical condition
P1050,medical condition,Q7189713,physiological condition
P1050,medical condition,Q796194,medical procedure
P10527,documentation files at,Q2668072,collection
P10527,documentation files at,Q43229,organization
P1056,product or material produced,Q1799072,method
P1056,product or material produced,Q1310239,component
P1056,product or material produced,Q16686448,artificial object
P1056,product or material produced,Q2424752,product
P1056,product or material produced,Q4406616,concrete object
P1056,product or material produced,Q58778,system
P1056,product or material produced,Q7048977,abstract entity
P1056,product or material produced,Q8187769,economic activity
P10594,taxonomic treatment,Q32945461,taxonomic treatment
P106,occupation,Q192581,job activity
P106,occupation,Q21451536,"fictional office, position, or title"
P106,occupation,Q228534,working animal
P106,occupation,Q4164871,position
P106,occupation,Q4504549,religious figure
P106,occupation,Q47472256,fictional religious occupation
P1060,disease transmission process,Q525512,pathogen transmission
P10606,notable role,Q5,human
P10606,notable role,Q95074,character
P10627,web interface software,Q7397,software
P10629,suggested data fields,Q18616576,Wikidata property
