Q483247,Q30241068
Q203872,Q7048977
Q1228944,Q246672
Q99263607,Q29442136
Q720957,Q1241356
Q32098,Q186361
Q1345748,Q17277237
Q12048312,Q11019
Q115537581,Q14897293
Q107863035,Q24334685
Q1071447,Q841236
Q901882,Q64830866
Q7918273,Q107122793
Q787116,Q16039868
Q747883,Q6666023
Q5146936,Q62079009
Q3591586,Q875538
Q3181395,Q121182
Q230953,Q3537517
Q189819,Q2627975
Q18466271,Q123509
Q1792372,Q95074
Q17317568,Q217594
Q17138180,Q133346
Q164099,Q4922985
Q1518716,Q211606
Q1400881,Q28877
Q136039983,Q51404
Q1326019,Q79375
Q126034916,Q1355387
Q122460187,Q108060510
Q11880367,Q1584134
Q117210437,Q132241
Q113043123,Q7406919
Q108117266,Q15720793
Q106474029,Q35127
Q104595152,Q7397
Q104177009,Q88480
Q189977,Q3242583
Q105449313,Q391414
Q99496317,Q7313594
Q98826752,Q18679685
Q892901,Q1426546
Q865663,Q50379874
Q856215,Q11348
Q778333,Q187931
Q768855,Q193622
Q7603706,Q820655
Q6160903,Q459297
Q60644751,Q15621286
Q59140288,Q27493
Q58721,Q871396
Q56369645,Q4669817
Q5305837,Q8037573
Q512442,Q895526
Q4826456,Q639030
Q4072190,Q10524141
Q3924032,Q11348
Q370502,Q11348
Q367359,Q2148398
Q31728,Q11771944
Q3087607,Q5159627
Q29937289,Q1988927
Q28401154,Q133182
Q28017710,Q186165
Q2789106,Q2144402
Q27825487,Q30017383
Q2672648,Q17091170
Q2427900,Q20077126
Q2267705,Q1047113
Q2144320,Q18562917
Q20852153,Q1784021
Q20532,Q483677
Q2006324,Q202722
Q19847358,Q1665268
Q1940282,Q1161138
Q1925081,Q324254
Q1814351,Q98144562
Q16869178,Q1371954
Q1664720,Q5341295
Q1363554,Q4008379
Q135337914,Q215605
Q124653834,Q914841
Q11879837,Q20828805
Q116961403,Q870780
Q116847800,Q1784021
Q11345,Q976981
Q11167066,Q3757113
Q111372430,Q207977
Q111326612,Q49848
Q111252415,Q1530022
Q110458569,Q7313594
Q109926020,Q15265344
Q1048835,Q56061
Q101950258,Q3414877
Q100800385,Q1784021
Q30323976,Q7053736
Q22908173,Q80134605
Q159904,Q205555
Q110879282,Q110879246
Q99980564,Q44696264
Q977772,Q228502
Q96776939,Q3196867
Q929380,Q832237
Q864812,Q93267
Q81844069,Q476068
Q79141101,Q18609861
Q7896796,Q1685451
Q782683,Q113195408
Q740445,Q2624046
Q73466793,Q503968
Q7159158,Q1068842
Q7095472,Q65598525
Q679206,Q9261468
Q6752131,Q516992
Q655328,Q2627911
Q65148029,Q37901
Q623344,Q3041792
Q62122079,Q27162596
Q611203,Q1788588
Q569333,Q55488
Q568301,Q1783877
Q56651566,Q56062092
Q5162999,Q179049
Q4827314,Q94670589
Q473750,Q100773131
Q456201,Q2057881
Q43616,Q2242136
Q400144,Q16873378
Q3769912,Q2019586
Q3749263,Q2425052
Q3699460,Q150784
Q3513439,Q1441305
Q330153,Q1779838
Q3126266,Q828909
Q3075310,Q275068
Q2945301,Q40357
Q29091078,Q546113
Q2882217,Q2882223
Q27477672,Q10493450
Q2713600,Q9135
Q2674774,Q877998
Q2374515,Q658255
Q2251455,Q898144
Q2237584,Q1127126
Q217102,Q1479406
Q208128,Q681541
Q2042028,Q150784
Q18389975,Q75520
Q1797918,Q941818
Q1763527,Q107390
Q1751513,Q23804016
Q17146103,Q1134237
Q1706492,Q7203108
Q16955053,Q136677592
Q16945207,Q3571153
Q16861606,Q374814
Q1627767,Q164419
Q16172167,Q27491742
Q16148831,Q1660104
Q1571836,Q9580314
Q15713757,Q109421274
Q15298221,Q110660
Q15104814,Q12413618
Q1502991,Q164359
Q1416313,Q1416636
Q137375190,Q494978
Q136443337,Q1145276
Q12492827,Q25579312
Q12376643,Q1969455
Q12292478,Q845132
Q1211427,Q955824
Q12101178,Q81938
Q11916397,Q748049
Q117825670,Q129676354
Q116447059,Q171308
Q113493738,Q111541200
Q113307036,Q1251403
Q110458263,Q3604747
Q108059277,Q112117312
Q106473769,Q17051824
Q10594991,Q386426
Q105815710,Q97361874
Q1054330,Q501390
Q98034006,Q1542052
Q86837339,Q99768640
Q814207,Q12136
Q79719,Q882991
Q7590,Q4284762
Q7366,Q114586269
Q7168234,Q274586
Q653598,Q51845395
Q6406075,Q785952
Q6307926,Q2365748
Q55435655,Q132580
Q5156532,Q848569
Q514050,Q1681353
Q46327975,Q10480682
Q46122855,Q52153638
Q46122817,Q52153638
Q39463,Q1393765
Q345367,Q3307505
Q3444711,Q2881503
Q333798,Q327532
Q32859534,Q126078840
Q3248417,Q155231
Q3233770,Q269949
Q29933858,Q3937904
Q294440,Q2015628
Q2637989,Q641406
Q24246654,Q107617
Q2391004,Q15915771
Q2369148,Q525512
Q2145277,Q375928
Q2141893,Q103808
Q20950067,Q9842
Q200125,Q19033
Q1971708,Q939253
Q19509099,Q192852
Q190274,Q1191732
Q18694247,Q4405837
Q17955,Q3059502
Q1686000,Q215627
Q16514899,Q491
Q1616547,Q1346592
Q16085106,Q2706302
Q15883375,Q1378975
Q136840582,Q1125338
Q128878864,Q1983062
Q125799818,Q41534
Q11791804,Q7023752
Q11609514,Q11411019
Q111956902,Q908667
Q11177275,Q1940784
Q11147959,Q82550
Q11101985,Q4747343
Q109339434,Q109542220
Q107289726,Q2548752
Q1071160,Q845945
Q100532772,Q2795484
Q100137873,Q18572946
Q3238445,Q939616
Q19920968,Q11917457
Q184748,Q745243
Q147638,Q8162
Q853735,Q11698769
Q728934,Q8343784
Q662729,Q211236
Q65066631,Q137537584
Q6378713,Q1191035
Q5915726,Q3661265
Q55789476,Q55786352
Q55693902,Q8134
Q5535082,Q125294902
Q54819544,Q54819588
Q5469194,Q815818
Q5249852,Q28920209
Q50675,Q1066186
Q50377224,Q6888113
Q4781062,Q3231410
Q47464465,Q47465156
Q40686289,Q2115663
Q372561,Q720362
Q3402555,Q650483
Q32049530,Q385994
Q30038792,Q19462049
Q2827758,Q1209783
Q28224940,Q12420428
Q27973,Q23582374
Q2739432,Q191316
Q27106859,Q725158
Q2695280,Q1799072
Q2325307,Q896009
Q22959676,Q1332286
Q20965835,Q185529
Q20190526,Q180173
Q1990987,Q1377163
Q19839536,Q16523
Q1885941,Q211236
Q1844833,Q695793
Q181510,Q172175
Q1550789,Q7234359
Q13645388,Q1802963
Q134917287,Q134917286
Q134281279,Q676081
Q133327,Q4240689
Q130336486,Q722659
Q12809484,Q16725943
Q119230201,Q1711347
Q116773301,Q349572
Q1140178,Q334383
Q112211006,Q112211049
Q111015360,Q7820953
Q11049265,Q2144042
Q108743809,Q1799072
Q10674566,Q2307291
Q10639405,Q689880
Q1009600,Q162986
Q98889979,Q15091621
Q9203135,Q978044
Q7863260,Q80011137
Q5891306,Q212926
Q55738902,Q1662735
Q55014429,Q424221
Q505681,Q356090
Q4887411,Q8359428
Q3942422,Q18491037
Q3253150,Q155930
Q2625206,Q608862
Q20919240,Q1443672
Q204335,Q82799
Q18646422,Q29585019
Q1758424,Q1146011
Q1500368,Q25550691
Q1252145,Q2794475
Q123120899,Q82799
Q112189280,Q112189234
Q111263847,Q109459317
Q1005420,Q314024
Q1066707,Q209163
Q912751,Q21106344
Q88321276,Q46857
Q839864,Q14947863
Q680928,Q856887
Q618678,Q14026181
Q591055,Q249697
Q55786850,Q55789068
Q55738599,Q16875637
Q33394058,Q12713481
Q21421116,Q14874552
Q192822,Q731978
Q1820336,Q7921
Q1714153,Q24476018
Q153050,Q2147820
Q118451828,Q1422299
Q112189412,Q112189408
