property,propertyLabel,class,classLabel
P1000,record held,Q1241356,record
P1001,applies to jurisdiction,Q1048835,political territorial entity
P1001,applies to jurisdiction,Q13414953,religious denomination
P1001,applies to jurisdiction,Q155076,juridical person
P1001,applies to jurisdiction,Q166140,registration authority
P1001,applies to jurisdiction,Q1914636,activity
P1001,applies to jurisdiction,Q192611,electoral unit
P1001,applies to jurisdiction,Q2221906,geographic location
P1001,applies to jurisdiction,Q2882257,First Nation band
P1001,applies to jurisdiction,Q31728,public administration
P1001,applies to jurisdiction,Q3895768,fictional location
P1001,applies to jurisdiction,Q3918,university
P1001,applies to jurisdiction,Q43229,organization
P1001,applies to jurisdiction,Q4358176,council
P1001,applies to jurisdiction,Q44554,law enforcement
P1001,applies to jurisdiction,Q44782,port
P1001,applies to jurisdiction,Q56061,administrative territorial entity
P1001,applies to jurisdiction,Q57662985,country in a fiction work
P1001,applies to jurisdiction,Q5982983,jurisdiction
P1001,applies to jurisdiction,Q6087062,court proceeding
P1001,applies to jurisdiction,Q61005213,copyright determination method
P1001,applies to jurisdiction,Q7188,government
P1001,applies to jurisdiction,Q7278,political party
P1001,applies to jurisdiction,Q8187769,economic activity
P1001,applies to jurisdiction,Q82794,region
P1002,engine configuration,Q2576663,engine configuration
P10067,train melody,Q105543609,musical work/composition
P10129,protective marking,Q59157145,information classification
P1016,asteroid taxonomy,Q15101896,asteroid classification
P10176,type host,Q16521,taxon
P1018,language regulatory body,Q4164871,position
P1018,language regulatory body,Q43229,organization
P1018,language regulatory body,Q5,human
P102,member of political party,Q1393724,political faction
P102,member of political party,Q15145017,Ticket
P102,member of political party,Q2738074,political movement
P102,member of political party,Q6138528,political coalition
P102,member of political party,Q7210356,political organization
P102,member of political party,Q7278,political party
P10229,next level in hierarchy,Q56061,administrative territorial entity
P10241,individual of taxon,Q15707583,fictional taxon
P10241,individual of taxon,Q16521,taxon
P10241,individual of taxon,Q427626,taxonomic rank
P10254,associated cadastral district,Q15623950,prefecture of Morocco
P10254,associated cadastral district,Q17376095,cadastral municipality of Austria
P10254,associated cadastral district,Q20871353,cadastral area in the Czech Republic
P10254,associated cadastral district,Q23925382,arrondissement of Morocco
P10254,associated cadastral district,Q23925393,douar in Morocco
P10254,associated cadastral district,Q2989400,commune of Morocco
P1026,academic thesis,Q111475835,bachelor's with honors thesis
P1026,academic thesis,Q1266946,thesis
P1026,academic thesis,Q1385450,dissertation
P1026,academic thesis,Q187685,doctoral thesis
P1026,academic thesis,Q1907875,master's thesis
P1026,academic thesis,Q798134,bachelor's thesis
P1028,donated by,Q16334295,group of humans
P1028,donated by,Q43229,organization
P1028,donated by,Q5,human
P1029,crew member,Q5,human
P1029,crew member,Q95074,character
P103,native language,Q17376908,languoid
P10308,director of publication,Q5,human
P1035,honorific suffix,Q115859704,honorific suffix
P1035,honorific suffix,Q1964223,name suffix
P1035,honorific suffix,Q60754876,grade of an order
P1035,honorific suffix,Q618779,award
P1037,director / manager,Q21070568,human whose existence is disputed
P1037,director / manager,Q5,human
P1037,director / manager,Q95074,character
P10374,computational complexity,Q908207,complexity class
P1038,relative,Q1569167,video game character
P1038,relative,Q178885,deity
P1038,relative,Q21070598,figure that may or may not be fictional
P1038,relative,Q26401003,individual animal
P1038,relative,Q5,human
P1038,relative,Q95074,character
P1039,kinship to subject,Q11666901,nominal kinship
P1039,kinship to subject,Q12758374,relative
P1039,kinship to subject,Q171318,kinship
P1040,film editor,Q10648343,duo
P1040,film editor,Q1400264,artist collective
P1040,film editor,Q14073567,sibling duo
P1040,film editor,Q14756018,twins
P1040,film editor,Q215380,musical group
P1040,film editor,Q5,human
P10408,created during,Q1190554,occurrence
P1041,socket supported,Q727009,CPU socket
P10449,trained by,Q5,human
P1049,worshipped by,Q17364638,fictional religion
P1049,worshipped by,Q3117863,isolated human group
P1049,worshipped by,Q3257686,locality
P1049,worshipped by,Q41710,ethnic group
P1049,worshipped by,Q71966963,religion or world view
P1049,worshipped by,Q8432,civilization
P105,taxon rank,Q427626,taxonomic rank
P1050,medical condition,Q12131,disability
P1050,medical condition,Q12136,disease
P1050,medical condition,Q1441305,clinical sign
P1050,medical condition,Q175854,phobia
P1050,medical condition,Q18596079,fictional medical condition
P1050,medical condition,Q19656546,fictional virus
P1050,medical condition,Q2057971,health problem
P1050,medical condition,Q7189713,physiological condition
P1050,medical condition,Q796194,medical procedure
P1050,medical condition,Q808,virus
P10527,documentation files at,Q2668072,collection
P10527,documentation files at,Q43229,organization
P1056,product or material produced,Q11028,information
P1056,product or material produced,Q110832782,software resource
P1056,product or material produced,Q11379,energy
P1056,product or material produced,Q11651,electric current
P1056,product or material produced,Q1172284,data set
P1056,product or material produced,Q1310239,component
P1056,product or material produced,Q13226383,facility
P1056,product or material produced,Q1371819,plan
P1056,product or material produced,Q1408286,production process
P1056,product or material produced,Q14897293,fictional entity
P1056,product or material produced,Q15809678,financial product
P1056,product or material produced,Q16686448,artificial object
P1056,product or material produced,Q1799072,method
P1056,product or material produced,Q192276,measure
P1056,product or material produced,Q2424752,product
P1056,product or material produced,Q28877,goods
P1056,product or material produced,Q3566043,economic bad
P1056,product or material produced,Q4406616,concrete object
P1056,product or material produced,Q58778,system
P1056,product or material produced,Q7048977,abstract entity
P1056,product or material produced,Q7079603,official statistics
P1056,product or material produced,Q7406919,service
P1056,product or material produced,Q8187769,economic activity
P1057,chromosome,Q37748,chromosome
P10588,academic calendar type,Q138610495,academic calendar
P10594,taxonomic treatment,Q32945461,taxonomic treatment
P106,occupation,Q108377574,Islamic religious occupation
P106,occupation,Q115580828,fictional analog of an occupation
P106,occupation,Q12737077,occupation
P106,occupation,Q17305127,fictional profession
P106,occupation,Q192581,job activity
P106,occupation,Q21451536,"fictional office, position, or title"
P106,occupation,Q228534,working animal
P106,occupation,Q28640,profession
P106,occupation,Q4164871,position
P106,occupation,Q4504549,religious figure
P106,occupation,Q47472256,fictional religious occupation
P106,occupation,Q480319,title of authority
P106,occupation,Q63188683,Christian religious occupation
P106,occupation,Q63188808,Catholic vocation
P1060,disease transmission process,Q525512,pathogen transmission
P10601,co-applicant,Q106559804,person or organization
P10602,applicant,Q106559804,person or organization
P10604,type of a register in Germany,Q110609500,type of register in Germany
P10606,notable role,Q3375731,historical character
P10606,notable role,Q5,human
P10606,notable role,Q95074,character
P10607,athletics program,Q124803011,school athletics program
P10607,athletics program,Q2367225,university and college sports club
P10607,athletics program,Q86044603,high school athletics program
P10612,choreography for,Q2188189,musical work
P10627,web interface software,Q7397,software
P10629,suggested data fields,Q18616576,Wikidata property
P1064,track gauge,Q214519,track gauge
P10645,reports to,Q4164871,position
P10654,rack system,Q29898761,rack system
P1066,student of,Q115537581,imaginary character
P1066,student of,Q16334295,group of humans
P1066,student of,Q5,human
P10661,exhibited creator,Q16334295,group of humans
P10661,exhibited creator,Q43229,organization
P10661,exhibited creator,Q5,human
P10663,applies to work,Q116779428,group of works often treated as a singular work
P10663,applies to work,Q386724,work
P10663,applies to work,Q559618,fictional universe
P10663,applies to work,Q7725310,series of creative works
P10663,applies to work,Q9134,mythology
P10664,featured track(s),Q55850593,music track with vocals
P10664,featured track(s),Q55850643,music track without lyrics
P10672,raw material processed,Q11173,chemical compound
P10672,raw material processed,Q1550712,primary commodity
P10672,raw material processed,Q188460,natural resource
P10672,raw material processed,Q214609,material
P10672,raw material processed,Q2424752,product
P10672,raw material processed,Q2518864,delving material
P10672,raw material processed,Q3955017,intermediate good
P1068,instruction set,Q272683,instruction set architecture
P10695,introduced in,Q386724,work
